 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 Generic                       , Covariance          , Psi08_05                                                         ,0.383,     nan     ,   nan     ,    nan    
 Generic                       , Covariance          , Psi08_06                                                         ,0.465,1278256.975,1,0
 Generic                       , Covariance          , Psi08_07                                                         ,0.741,1319668.888,1,0
 Generic                       , Covariance          , Psi08_08                                                         ,0.944,2556196.123,1,0
 Generic                       , Covariance          , Psi09_01                                                         ,0.598,0.234,0.011,2.55
 Generic                       , Covariance          , Psi09_02                                                         ,0.389,0,1,0
 Generic                       , Covariance          , Psi09_03                                                         ,0.569,0,1,0
 Generic                       , Covariance          , Psi09_04                                                         ,0.52,1652483.829,1,0
 Generic                       , Covariance          , Psi09_05                                                         ,0.533,     nan     ,   nan     ,    nan    
 Generic                       , Covariance          , Psi09_06                                                         ,0.648,0.762,0.395,0.85
 Generic                       , Covariance          , Psi09_07                                                         ,0.828,0,1,0
 Generic                       , Covariance          , Psi09_08                                                         ,0.621,0,1,0
 Generic                       , Covariance          , Psi09_09                                                         ,1.441,0.544,0.008,2.65
 Generic                       , Covariance          , Psi10_01                                                         ,0.5,0,1,0
 Generic                       , Covariance          , Psi10_02                                                         ,0.349,0.266,0.189,1.31
 Generic                       , Covariance          , Psi10_03                                                         ,0.36,0.594,0.544,0.61
 Generic                       , Covariance          , Psi10_04                                                         ,0.394,1652274.579,1,0
 Generic                       , Covariance          , Psi10_05                                                         ,0.504,0,1,0
 Generic                       , Covariance          , Psi10_06                                                         ,0.487,0,1,0
 Generic                       , Covariance          , Psi10_07                                                         ,0.547,1086826.428,1,0
 Generic                       , Covariance          , Psi10_08                                                         ,0.478,1278233.974,1,0
